canonical_verb,cluster_id,cluster_size,is_noise,dominant_episode_id,dominant_episode_count,representative_segment_id,representative_episode_id,representative_start_time,silhouette_for_verb
fold_clothes,fold_clothes__0,44,False,2025-09-20-17-42-51-000000,27,2025-09-20-17-42-51-000000:front_1:000047,2025-09-20-17-42-51-000000,47.0,0.09187241363700384
fold_clothes,fold_clothes__1,47,False,2025-09-20-17-42-51-000000,32,2025-09-20-17-42-51-000000:front_1:000064,2025-09-20-17-42-51-000000,64.0,0.09187241363700384
fold_clothes,fold_clothes__2,11,False,2025-09-20-17-42-51-000000,7,2025-09-20-17-42-51-000000:front_1:000024,2025-09-20-17-42-51-000000,24.0,0.09187241363700384
fold_clothes,fold_clothes__3,17,False,2025-09-20-17-47-54-000000,11,2025-09-20-17-47-54-000000:front_1:000033,2025-09-20-17-47-54-000000,33.0,0.09187241363700384
fold_clothes,fold_clothes__4,8,False,2025-09-20-17-42-51-000000,8,2025-09-20-17-42-51-000000:front_1:000053,2025-09-20-17-42-51-000000,53.0,0.09187241363700384
fold_clothes,fold_clothes__5,52,False,2025-09-20-17-47-54-000000,40,2025-09-20-17-47-54-000000:front_1:000004,2025-09-20-17-47-54-000000,4.0,0.09187241363700384
fold_clothes,fold_clothes__6,9,False,2025-09-20-17-47-54-000000,7,2025-09-20-17-47-54-000000:front_1:000088,2025-09-20-17-47-54-000000,88.0,0.09187241363700384
